base_map, altered_map,frechet distance,hausdorff distance,symmetric difference
brazil_population_by_state_2021_input.geojson,brazil_population_by_state_2021_flow_based.geojson,0.564126,0.359509,0.693806
china_population_by_province_2020_input.geojson,china_population_by_province_2020_9.geojson,1.15278,0.31073,0.654473
china_population_by_province_2020_input.geojson,china_population_by_province_2020_5FCarto.geojson,0.549409,0.317145,0.692288
china_population_by_province_2020_input.geojson,china_population_by_province_2020_flow_based.geojson,0.548194,0.311636,0.686469
concentric_circles_input.geojson,concentric_circles_3.geojson,0.303058,0.194198,0.478178
concentric_circles_input.geojson,concentric_circles_5FCarto.geojson,0.0289834,0.0255445,0.585792
concentric_circles_input.geojson,concentric_circles_flow_based.geojson,0.0255586,0.0255586,0.585788
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_4.geojson,0.530545,0.297222,0.580428
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_5FCarto.geojson,0.519007,0.309698,0.589815
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_flow_based.geojson,0.518887,0.307463,0.591227
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_3.geojson,0.488166,0.28588,0.61982
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_5FCarto.geojson,0.464677,0.274971,0.5764
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_flow_based.geojson,0.464203,0.275647,0.576596
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_6.geojson,0.390128,0.251521,0.570326
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_5FCarto.geojson,0.385471,0.263987,0.532311
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_flow_based.geojson,0.384864,0.264946,0.532367
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_9.geojson,1.25409,0.400311,0.632428
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_5FCarto.geojson,1.4223,0.478226,0.770966
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_flow_based.geojson,1.51993,0.451221,0.791385
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_9.geojson,1.28686,0.403776,0.623258
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_5FCarto.geojson,0.832656,0.460598,0.759723
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_flow_based.geojson,0.96294,0.45123,0.778517
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_9.geojson,1.24598,0.475372,0.872957
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_5FCarto.geojson,1.44255,0.498667,0.911428
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_flow_based.geojson,1.41142,0.599734,0.936625
england_population_by_region_2022_input.geojson,england_population_by_region_2022_2.geojson,1.09532,0.319515,0.651709
england_population_by_region_2022_input.geojson,england_population_by_region_2022_5FCarto.geojson,0.253805,0.19636,0.372124
england_population_by_region_2022_input.geojson,england_population_by_region_2022_flow_based.geojson,0.25344,0.196117,0.371145
france_population_by_metropolitan_region_2008_input.geojson,france_population_by_metropolitan_region_2008_2.geojson,0.36902,0.265627,0.488924
france_population_by_metropolitan_region_2008_input.geojson,france_population_by_metropolitan_region_2008_5FCarto.geojson,0.334548,0.225653,0.430381
france_population_by_metropolitan_region_2008_input.geojson,france_population_by_metropolitan_region_2008_flow_based.geojson,0.334782,0.225576,0.430388
germany_population_by_state_2011_input.geojson,germany_population_by_state_2011_6.geojson,0.305769,0.228149,0.504613
germany_population_by_state_2011_input.geojson,germany_population_by_state_2011_5FCarto.geojson,0.260796,0.21779,0.467167
germany_population_by_state_2011_input.geojson,germany_population_by_state_2011_flow_based.geojson,0.253879,0.218682,0.467142
indonesia_population_by_province_2024_input.geojson,indonesia_population_by_province_2024_6.geojson,0.676474,0.393259,0.847098
indonesia_population_by_province_2024_input.geojson,indonesia_population_by_province_2024_5FCarto.geojson,0.659772,0.365034,0.753778
indonesia_population_by_province_2024_input.geojson,indonesia_population_by_province_2024_flow_based.geojson,0.650012,0.372615,0.7545
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_3.geojson,1.105,0.321357,0.634292
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_5FCarto.geojson,0.577297,0.331052,0.717964
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_flow_based.geojson,0.581742,0.328164,0.718477
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_6.geojson,0.497137,0.323411,0.614074
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_5FCarto.geojson,0.537833,0.332257,0.593699
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_flow_based.geojson,0.534753,0.335314,0.594418
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_3.geojson,0.467524,0.276904,0.567949
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_5FCarto.geojson,0.505944,0.297358,0.590425
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_flow_based.geojson,0.509564,0.289969,0.591465
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_9.geojson,1.21976,0.371376,0.60425
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_5FCarto.geojson,0.934982,0.431298,0.92106
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_flow_based.geojson,0.943478,0.422605,0.924643
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_2.geojson,0.572354,0.278643,0.58779
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_5FCarto.geojson,0.450943,0.20583,0.341624
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_flow_based.geojson,0.254153,0.19313,0.30822
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_9.geojson,1.65616,0.369428,0.893482
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_5FCarto.geojson,3.5487,0.6088,0.863888
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_flow_based.geojson,3.47992,0.766799,0.837892
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_4.geojson,0.747133,0.381392,0.818128
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_5FCarto.geojson,0.697106,0.381924,0.822459
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_flow_based.geojson,0.697191,0.382009,0.822125
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_5.geojson,0.563425,0.342717,0.750791
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_5FCarto.geojson,0.530342,0.341042,0.715888
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_flow_based.geojson,0.530236,0.340787,0.715736
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_3.geojson,0.485412,0.314075,0.631226
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_5FCarto.geojson,0.594428,0.35596,0.705505
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_flow_based.geojson,0.595756,0.35928,0.705436
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_9.geojson,1.25575,0.385988,0.592976
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_5FCarto.geojson,0.948252,0.545353,0.805317
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_flow_based.geojson,0.964372,0.525045,0.796493
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_9.geojson,1.06532,0.309613,0.690867
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_5FCarto.geojson,0.630042,0.313539,0.623695
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_flow_based.geojson,0.630051,0.313433,0.6279
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_2.geojson,1.01929,0.264671,0.710648
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_5FCarto.geojson,0.425696,0.274022,0.594797
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_flow_based.geojson,0.42723,0.27124,0.594705
world_population_by_country_2010_input.geojson,world_population_by_country_2010_9.geojson,1.20708,0.384596,0.622137
world_population_by_country_2010_input.geojson,world_population_by_country_2010_5FCarto.geojson,0.893077,0.480014,0.792703
world_population_by_country_2010_input.geojson,world_population_by_country_2010_flow_based.geojson,0.947054,0.448053,0.79181
